2001_IV,2001_NRMVotes,2001_OV,2006_IV,2006_NRMVotes,2011_IV,2011_NRMVotes,2011_NRM_Score,2016_IV,2016_NRMVOTES,2016_NRM_Score,2016_Opp_Votes,2021_NRM_Score
3487.653846153846,95519.71153846153,42442.480769230766,1154.0,56896.0,2704.0,65910.0,0.8954919703268933,2922.0,74616.0,0.8193078004216444,16456.0,0.8733874874660598
3487.653846153846,95519.71153846153,42442.480769230766,2509.0,95687.0,3221.0,104422.0,0.8557707279894444,3366.0,102258.0,0.7398098710769632,35964.0,0.9396622160223196
3487.653846153846,95519.71153846153,42442.480769230766,2393.0,20302.0,2507.0,26804.0,0.8657343109072705,5576.0,34703.0,0.8996241088788075,3872.0,0.8763094278807413
3487.653846153846,95519.71153846153,42442.480769230766,1412.0,40076.0,1273.0,45209.0,0.9025734193136218,3120.0,54733.0,0.8185842693268325,12130.0,0.5665183207239282
3487.653846153846,95519.71153846153,42442.480769230766,1282.0,84046.0,1829.0,113865.0,0.9400463975827024,1946.0,121286.0,0.91347015627942,11489.0,0.9875837345614402
3487.653846153846,95519.71153846153,42442.480769230766,1547.0,10343.0,2309.0,19443.0,0.5369511184755592,4154.0,30647.0,0.6588060792364411,15872.0,0.7182816348682837
3487.653846153846,95519.71153846153,42442.480769230766,4923.0,86142.0,3126.0,72885.0,0.7693728690107988,5124.0,64819.0,0.6236253956647649,39120.0,0.6716943494544863
3487.653846153846,95519.71153846153,42442.480769230766,2457.0,51815.0,3584.0,56935.0,0.6651673579064198,4750.0,64035.0,0.6229509791522769,38758.0,0.3388742374597085
3487.653846153846,95519.71153846153,42442.480769230766,1160.0,37495.0,1351.0,42959.0,0.844004793807344,2314.0,47432.0,0.7620455312243947,14811.0,0.5351194582494474
3487.653846153846,95519.71153846153,42442.480769230766,4310.5,59566.41176470588,552.0,16098.0,0.9091319817021516,1134.0,17109.0,0.8004585009825022,4265.0,0.7738680685094116
3487.653846153846,95519.71153846153,42442.480769230766,4310.5,59566.41176470588,1273.0,10470.0,0.3675360690841436,2663.0,10673.0,0.3151817618049198,23190.0,0.5352104631903593
3487.653846153846,95519.71153846153,42442.480769230766,4310.5,59566.41176470588,2420.0,36962.0,0.7519020301883722,2859.0,36297.0,0.6056565993659269,23633.0,0.5252013263855992
